Du,Dv,var_v,mean_v
0.16,0.08,3.335888258199396e-05,0.023598397919866336
0.2,0.04,7.663921610984274e-05,0.0236154560353462
0.24,0.03,9.589817664130591e-05,0.02362223092087927
